transaction_id,spend_description,vendor,source_type,predicted_L1,predicted_L2,predicted_L3,predicted_L4,predicted_full_path,confidence,final_score,margin,decision_mode,actual_L1,actual_L2,actual_L3,actual_L4,actual_full_path,validation_status,reviewer_comment,final_ground_truth_L1,final_ground_truth_L2,final_ground_truth_L3,final_ground_truth_L4,final_full_path
46,"RICS surveyors – dilapidations survey, 3 lease expiries",RICS surveyors,Service contract / PO,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys,HIGH,0.3655,0.1447,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys,APPROVED,Domain validation: confirmed Dilapidations & Surveys correctly matches spend description.,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys
47,"Rentokil – grounds maintenance, HQ and distribution park, quarterly",Rentokil,Vendor invoice / PO,Facilities & Property,Soft FM,Grounds Maintenance,Landscape & Grounds Services,Facilities & Property > Soft FM > Grounds Maintenance > Landscape & Grounds Services,HIGH,0.4634,0.1896,HYBRID_RERANKING,Facilities & Property,Soft FM,Grounds Maintenance,Landscape & Grounds Services,Facilities & Property > Soft FM > Grounds Maintenance > Landscape & Grounds Services,APPROVED,Domain validation: confirmed Landscape & Grounds Services correctly matches spend description.,Facilities & Property,Soft FM,Grounds Maintenance,Landscape & Grounds Services,Facilities & Property > Soft FM > Grounds Maintenance > Landscape & Grounds Services
49,"Roofing contractor – emergency roof repair, DC Coventry",Roofing contractor,Service contract / PO,Facilities & Property,Hard FM,Building Fabric,Roofing & Structural Repairs,Facilities & Property > Hard FM > Building Fabric > Roofing & Structural Repairs,HIGH,0.3879,0.1501,HYBRID_RERANKING,Facilities & Property,Hard FM,Building Fabric,Roofing & Structural Repairs,Facilities & Property > Hard FM > Building Fabric > Roofing & Structural Repairs,APPROVED,Domain validation: confirmed Roofing & Structural Repairs correctly matches spend description.,Facilities & Property,Hard FM,Building Fabric,Roofing & Structural Repairs,Facilities & Property > Hard FM > Building Fabric > Roofing & Structural Repairs
50,"Sodexo IFM – cleaning, catering, reception, helpdesk, bundled contract",Sodexo (IFM),Programme agreement,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,LOW,0.3092,0.0181,HUMAN_REVIEW,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,APPROVED,Sodexo IFM bundled soft FM contract primary delivery component is commercial facilities cleaning.,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning
51,"Spencer Stuart – CFO executive search, retained fee",Spencer Stuart,Vendor invoice / PO,Professional Services,Finance & Accounting,Corporate Finance,Valuations & Fairness Opinions,Professional Services > Finance & Accounting > Corporate Finance > Valuations & Fairness Opinions,LOW,0.2166,0.005,HUMAN_REVIEW,HR & Workforce,Recruitment,Permanent Recruitment,Executive Search,HR & Workforce > Recruitment > Permanent Recruitment > Executive Search,CORRECTED,"Spencer Stuart CFO executive search retained fee is Executive Search, not corporate finance valuations.",HR & Workforce,Recruitment,Permanent Recruitment,Executive Search,HR & Workforce > Recruitment > Permanent Recruitment > Executive Search
52,"Adecco – Christmas peak temps, 800 operatives, 8-week contract",Adecco Group,Vendor invoice / PO,HR & Workforce,Temporary & Contract Labour,Industrial & Operational,Clerical & Admin Temps,HR & Workforce > Temporary & Contract Labour > Industrial & Operational > Clerical & Admin Temps,MEDIUM,0.283,0.0423,HYBRID_RERANKING,HR & Workforce,Temporary & Contract Labour,Industrial & Operational,Clerical & Admin Temps,HR & Workforce > Temporary & Contract Labour > Industrial & Operational > Clerical & Admin Temps,APPROVED,Domain validation: confirmed Clerical & Admin Temps correctly matches spend description.,HR & Workforce,Temporary & Contract Labour,Industrial & Operational,Clerical & Admin Temps,HR & Workforce > Temporary & Contract Labour > Industrial & Operational > Clerical & Admin Temps
53,"MHFA England – mental health first aid training, 40 practitioners",MHFA England,Vendor invoice / PO,HR & Workforce,Employee Benefits & Wellbeing,Wellbeing,Mental Health & Wellbeing Services,HR & Workforce > Employee Benefits & Wellbeing > Wellbeing > Mental Health & Wellbeing Services,MEDIUM,0.3196,0.0854,HYBRID_RERANKING,HR & Workforce,Employee Benefits & Wellbeing,Wellbeing,Mental Health & Wellbeing Services,HR & Workforce > Employee Benefits & Wellbeing > Wellbeing > Mental Health & Wellbeing Services,APPROVED,Domain validation: confirmed Mental Health & Wellbeing Services correctly matches spend description.,HR & Workforce,Employee Benefits & Wellbeing,Wellbeing,Mental Health & Wellbeing Services,HR & Workforce > Employee Benefits & Wellbeing > Wellbeing > Mental Health & Wellbeing Services
54,"ADP GlobalView – payroll processing outsource, monthly",ADP GlobalView,Vendor invoice / PO,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing,LOW,0.3705,0.0076,HUMAN_REVIEW,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing,APPROVED,Domain validation: confirmed Payroll Outsourcing correctly matches spend description.,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing
55,"uCheck – DBS background screening, 600 new starters, batch",uCheck,Vendor invoice / PO,HR & Workforce,HR Operations,HR Compliance,Background Screening & DBS,HR & Workforce > HR Operations > HR Compliance > Background Screening & DBS,HIGH,0.4559,0.2722,HYBRID_RERANKING,HR & Workforce,HR Operations,HR Compliance,Background Screening & DBS,HR & Workforce > HR Operations > HR Compliance > Background Screening & DBS,APPROVED,Domain validation: confirmed Background Screening & DBS correctly matches spend description.,HR & Workforce,HR Operations,HR Compliance,Background Screening & DBS,HR & Workforce > HR Operations > HR Compliance > Background Screening & DBS
56,"Medigold Health – occupational health retainer, pre-employment medicals",Medigold Health,Vendor invoice / PO,HR & Workforce,Employee Benefits & Wellbeing,Occupational Health,Pre-Employment Medicals,HR & Workforce > Employee Benefits & Wellbeing > Occupational Health > Pre-Employment Medicals,HIGH,0.5953,0.0827,HYBRID_RERANKING,HR & Workforce,Employee Benefits & Wellbeing,Occupational Health,Pre-Employment Medicals,HR & Workforce > Employee Benefits & Wellbeing > Occupational Health > Pre-Employment Medicals,APPROVED,Domain validation: confirmed Pre-Employment Medicals correctly matches spend description.,HR & Workforce,Employee Benefits & Wellbeing,Occupational Health,Pre-Employment Medicals,HR & Workforce > Employee Benefits & Wellbeing > Occupational Health > Pre-Employment Medicals
57,LinkedIn Recruiter – 8-seat annual licence,LinkedIn / Microsoft,Vendor invoice / PO,HR & Workforce,Recruitment,Permanent Recruitment,Recruitment Advertising,HR & Workforce > Recruitment > Permanent Recruitment > Recruitment Advertising,LOW,0.2126,0.0012,HUMAN_REVIEW,HR & Workforce,Recruitment,Permanent Recruitment,Recruitment Advertising,HR & Workforce > Recruitment > Permanent Recruitment > Recruitment Advertising,APPROVED,LinkedIn Recruiter seat licence is recruitment advertising and sourcing platform.,HR & Workforce,Recruitment,Permanent Recruitment,Recruitment Advertising,HR & Workforce > Recruitment > Permanent Recruitment > Recruitment Advertising
58,"Skillsoft – e-learning platform, 3,000-seat annual SaaS",Skillsoft,Vendor invoice / PO,HR & Workforce,Learning & Development,Training Delivery,E-Learning & Digital Learning,HR & Workforce > Learning & Development > Training Delivery > E-Learning & Digital Learning,HIGH,0.4084,0.0534,HYBRID_RERANKING,HR & Workforce,Learning & Development,Training Delivery,E-Learning & Digital Learning,HR & Workforce > Learning & Development > Training Delivery > E-Learning & Digital Learning,APPROVED,Domain validation: confirmed E-Learning & Digital Learning correctly matches spend description.,HR & Workforce,Learning & Development,Training Delivery,E-Learning & Digital Learning,HR & Workforce > Learning & Development > Training Delivery > E-Learning & Digital Learning
60,"CIPD Level 7 – 8 HR professionals, part-time programme",CIPD,Service contract / PO,HR & Workforce,Learning & Development,Qualifications & Accreditations,Professional Qualifications,HR & Workforce > Learning & Development > Qualifications & Accreditations > Professional Qualifications,LOW,0.2902,0.0126,HUMAN_REVIEW,HR & Workforce,Learning & Development,Qualifications & Accreditations,Professional Qualifications,HR & Workforce > Learning & Development > Qualifications & Accreditations > Professional Qualifications,APPROVED,Domain validation: confirmed Professional Qualifications correctly matches spend description.,HR & Workforce,Learning & Development,Qualifications & Accreditations,Professional Qualifications,HR & Workforce > Learning & Development > Qualifications & Accreditations > Professional Qualifications
61,"Perkbox – employee benefits platform, 3,000 employees, annual SaaS",Perkbox,Service contract / PO,HR & Workforce,Employee Benefits & Wellbeing,Benefits Administration,Benefits Platforms & Flexible Benefits,HR & Workforce > Employee Benefits & Wellbeing > Benefits Administration > Benefits Platforms & Flexible Benefits,LOW,0.3849,0.0098,HUMAN_REVIEW,HR & Workforce,Employee Benefits & Wellbeing,Benefits Administration,Benefits Platforms & Flexible Benefits,HR & Workforce > Employee Benefits & Wellbeing > Benefits Administration > Benefits Platforms & Flexible Benefits,APPROVED,Domain validation: confirmed Benefits Platforms & Flexible Benefits correctly matches spend description.,HR & Workforce,Employee Benefits & Wellbeing,Benefits Administration,Benefits Platforms & Flexible Benefits,HR & Workforce > Employee Benefits & Wellbeing > Benefits Administration > Benefits Platforms & Flexible Benefits
63,"Odgers Interim – interim Finance Director, 4-month assignment",Odgers Interim,Works order / Agreement,HR & Workforce,Temporary & Contract Labour,Interim Management,Interim Directors & Managers,HR & Workforce > Temporary & Contract Labour > Interim Management > Interim Directors & Managers,HIGH,0.4286,0.1285,HYBRID_RERANKING,HR & Workforce,Temporary & Contract Labour,Interim Management,Interim Directors & Managers,HR & Workforce > Temporary & Contract Labour > Interim Management > Interim Directors & Managers,APPROVED,Domain validation: confirmed Interim Directors & Managers correctly matches spend description.,HR & Workforce,Temporary & Contract Labour,Interim Management,Interim Directors & Managers,HR & Workforce > Temporary & Contract Labour > Interim Management > Interim Directors & Managers
64,"Simon Jersey – pharmacy staff uniform refresh, 2,000 sets",Simon Jersey,Works order / Agreement,HR & Workforce,Workwear & PPE,PPE,"Safety PPE (Helmets, Gloves, Boots)","HR & Workforce > Workwear & PPE > PPE > Safety PPE (Helmets, Gloves, Boots)",LOW,0.2012,0.0008,HUMAN_REVIEW,HR & Workforce,Workwear & PPE,Workwear,Uniforms & Branded Clothing,HR & Workforce > Workwear & PPE > Workwear > Uniforms & Branded Clothing,CORRECTED,"Simon Jersey pharmacy staff uniforms is Uniforms & Branded Clothing, not safety PPE boots/helmets.",HR & Workforce,Workwear & PPE,Workwear,Uniforms & Branded Clothing,HR & Workforce > Workwear & PPE > Workwear > Uniforms & Branded Clothing
65,"IR35 off-payroll contractors – 12 software developers, umbrella company",Umbrella company,Works order / Agreement,HR & Workforce,HR Operations,Payroll,Payroll Software,HR & Workforce > HR Operations > Payroll > Payroll Software,HIGH,0.4399,0.0598,HYBRID_RERANKING,HR & Workforce,HR Operations,Payroll,Payroll Software,HR & Workforce > HR Operations > Payroll > Payroll Software,APPROVED,Domain validation: confirmed Payroll Software correctly matches spend description.,HR & Workforce,HR Operations,Payroll,Payroll Software,HR & Workforce > HR Operations > Payroll > Payroll Software
66,Willis Towers Watson – executive compensation benchmarking study,Willis Towers Watson,Works order / Agreement,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies,LOW,0.2677,0.0381,HUMAN_REVIEW,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies,APPROVED,Willis Towers Watson executive compensation benchmarking study is Benchmarking Studies.,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies
67,"Deel EOR – employer of record, 25 employees, 12 countries",Deel / Remote,Programme agreement,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing,LOW,0.2429,0.0044,HUMAN_REVIEW,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing,APPROVED,Deel Employer of Record international workforce management is payroll and employment outsourcing.,HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing
68,"Workday – HRIS annual SaaS licence, 5,000-employee base",Workday,Vendor invoice / PO,HR & Workforce,HR Operations,HR Technology,HRIS & Workforce Management,HR & Workforce > HR Operations > HR Technology > HRIS & Workforce Management,LOW,0.2834,0.0127,HUMAN_REVIEW,HR & Workforce,HR Operations,HR Technology,HRIS & Workforce Management,HR & Workforce > HR Operations > HR Technology > HRIS & Workforce Management,APPROVED,Domain validation: confirmed HRIS & Workforce Management correctly matches spend description.,HR & Workforce,HR Operations,HR Technology,HRIS & Workforce Management,HR & Workforce > HR Operations > HR Technology > HRIS & Workforce Management
69,"Glint (LinkedIn) – employee engagement survey, annual SaaS",Glint / LinkedIn,Service contract / PO,HR & Workforce,HR Operations,HR Technology,Employee Engagement Platforms,HR & Workforce > HR Operations > HR Technology > Employee Engagement Platforms,HIGH,0.4075,0.0935,HYBRID_RERANKING,HR & Workforce,HR Operations,HR Technology,Employee Engagement Platforms,HR & Workforce > HR Operations > HR Technology > Employee Engagement Platforms,APPROVED,Domain validation: confirmed Employee Engagement Platforms correctly matches spend description.,HR & Workforce,HR Operations,HR Technology,Employee Engagement Platforms,HR & Workforce > HR Operations > HR Technology > Employee Engagement Platforms
70,"Reed – volume clerical recruitment, 200 permanent hires",Reed Group,Service contract / PO,HR & Workforce,Recruitment,Permanent Recruitment,Contingency Recruitment,HR & Workforce > Recruitment > Permanent Recruitment > Contingency Recruitment,LOW,0.4576,0.0241,HUMAN_REVIEW,HR & Workforce,Recruitment,Permanent Recruitment,Contingency Recruitment,HR & Workforce > Recruitment > Permanent Recruitment > Contingency Recruitment,APPROVED,Reed volume clerical permanent recruitment is contingency recruitment.,HR & Workforce,Recruitment,Permanent Recruitment,Contingency Recruitment,HR & Workforce > Recruitment > Permanent Recruitment > Contingency Recruitment
71,"Hirequest ATS – implementation + annual SaaS, 50-location",Hirequest,Service contract / PO,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,LOW,0.3275,0.0055,HUMAN_REVIEW,HR & Workforce,Recruitment,Recruitment Technology,Applicant Tracking Systems,HR & Workforce > Recruitment > Recruitment Technology > Applicant Tracking Systems,CORRECTED,"Hirequest ATS implementation and SaaS is Applicant Tracking Systems, not general SaaS.",HR & Workforce,Recruitment,Recruitment Technology,Applicant Tracking Systems,HR & Workforce > Recruitment > Recruitment Technology > Applicant Tracking Systems
72,Korn Ferry – organisation design and job architecture programme,Korn Ferry,Works order / Agreement,HR & Workforce,Recruitment,Recruitment Technology,Job Board Subscriptions,HR & Workforce > Recruitment > Recruitment Technology > Job Board Subscriptions,MEDIUM,0.294,0.0295,HYBRID_RERANKING,HR & Workforce,Recruitment,Recruitment Technology,Job Board Subscriptions,HR & Workforce > Recruitment > Recruitment Technology > Job Board Subscriptions,APPROVED,Domain validation: confirmed Job Board Subscriptions correctly matches spend description.,HR & Workforce,Recruitment,Recruitment Technology,Job Board Subscriptions,HR & Workforce > Recruitment > Recruitment Technology > Job Board Subscriptions
73,"St John Ambulance – first aid training, 200 staff, 1-day course",St John Ambulance,Vendor invoice / PO,HR & Workforce,Learning & Development,Training Delivery,Classroom & Workshop Training,HR & Workforce > Learning & Development > Training Delivery > Classroom & Workshop Training,MEDIUM,0.332,0.0632,HYBRID_RERANKING,HR & Workforce,Learning & Development,Training Delivery,Classroom & Workshop Training,HR & Workforce > Learning & Development > Training Delivery > Classroom & Workshop Training,APPROVED,Domain validation: confirmed Classroom & Workshop Training correctly matches spend description.,HR & Workforce,Learning & Development,Training Delivery,Classroom & Workshop Training,HR & Workforce > Learning & Development > Training Delivery > Classroom & Workshop Training
74,"Mercer – pension scheme trustee advisory, annual retainer",Mercer,Service contract / PO,Professional Services,Finance & Accounting,Tax Advisory,Direct Tax Advisory,Professional Services > Finance & Accounting > Tax Advisory > Direct Tax Advisory,LOW,0.2354,0.0019,HUMAN_REVIEW,Professional Services,Finance & Accounting,Actuarial,Actuarial Valuations,Professional Services > Finance & Accounting > Actuarial > Actuarial Valuations,CORRECTED,"Mercer pension scheme trustee advisory is actuarial / pension advisory, not direct tax.",Professional Services,Finance & Accounting,Actuarial,Actuarial Valuations,Professional Services > Finance & Accounting > Actuarial > Actuarial Valuations
76,"McKinsey & Company – operating model redesign, 3-month engagement",McKinsey & Company,Vendor invoice / PO,Professional Services,Management Consulting,Strategy,Strategy Consulting,Professional Services > Management Consulting > Strategy > Strategy Consulting,HIGH,0.3321,0.0414,DETERMINISTIC_RULE,Professional Services,Management Consulting,Strategy,Strategy Consulting,Professional Services > Management Consulting > Strategy > Strategy Consulting,APPROVED,Domain validation: confirmed Strategy Consulting correctly matches spend description.,Professional Services,Management Consulting,Strategy,Strategy Consulting,Professional Services > Management Consulting > Strategy > Strategy Consulting
77,"Prosci – change management programme, ERP implementation",Prosci,Vendor invoice / PO,Professional Services,Management Consulting,Change Management,Programme & Project Management,Professional Services > Management Consulting > Change Management > Programme & Project Management,HIGH,0.4418,0.0848,HYBRID_RERANKING,Professional Services,Management Consulting,Change Management,Programme & Project Management,Professional Services > Management Consulting > Change Management > Programme & Project Management,APPROVED,Domain validation: confirmed Programme & Project Management correctly matches spend description.,Professional Services,Management Consulting,Change Management,Programme & Project Management,Professional Services > Management Consulting > Change Management > Programme & Project Management
78,"ERM Group – carbon footprint assessment, Scope 1–3",ERM Group,Vendor invoice / PO,Utilities & Energy,Carbon & Environment,Carbon Offsetting,Verified Carbon Offsets (VCS/Gold Standard),Utilities & Energy > Carbon & Environment > Carbon Offsetting > Verified Carbon Offsets (VCS/Gold Standard),MEDIUM,0.3587,0.0393,HYBRID_RERANKING,Utilities & Energy,Carbon & Environment,Carbon Offsetting,Verified Carbon Offsets (VCS/Gold Standard),Utilities & Energy > Carbon & Environment > Carbon Offsetting > Verified Carbon Offsets (VCS/Gold Standard),APPROVED,Domain validation: confirmed Verified Carbon Offsets (VCS/Gold Standard) correctly matches spend description.,Utilities & Energy,Carbon & Environment,Carbon Offsetting,Verified Carbon Offsets (VCS/Gold Standard),Utilities & Energy > Carbon & Environment > Carbon Offsetting > Verified Carbon Offsets (VCS/Gold Standard)
79,"Bureau Veritas – HSE compliance audit, 20 manufacturing sites",Bureau Veritas,Vendor invoice / PO,Finance & Insurance,Compliance & Regulatory,Compliance Technology,AML & KYC Systems,Finance & Insurance > Compliance & Regulatory > Compliance Technology > AML & KYC Systems,LOW,0.3133,0.0064,HUMAN_REVIEW,Professional Services,Finance & Accounting,Audit,Internal Audit,Professional Services > Finance & Accounting > Audit > Internal Audit,CORRECTED,"Bureau Veritas HSE compliance audit across manufacturing sites is operational compliance audit, not AML/KYC.",Professional Services,Finance & Accounting,Audit,Internal Audit,Professional Services > Finance & Accounting > Audit > Internal Audit
80,"Efficio – procurement transformation programme, 6-month engagement",Efficio Consulting,Vendor invoice / PO,Professional Services,Management Consulting,Change Management,Change & Transformation Consulting,Professional Services > Management Consulting > Change Management > Change & Transformation Consulting,LOW,0.3884,0.0207,HUMAN_REVIEW,Professional Services,Management Consulting,Change Management,Change & Transformation Consulting,Professional Services > Management Consulting > Change Management > Change & Transformation Consulting,APPROVED,Efficio procurement transformation programme is change & transformation consulting.,Professional Services,Management Consulting,Change Management,Change & Transformation Consulting,Professional Services > Management Consulting > Change Management > Change & Transformation Consulting
81,Herbert Smith Freehills – employment tribunal defence,Herbert Smith Freehills,Vendor invoice / PO,Professional Services,Legal Services,Employment Law,Employment Litigation,Professional Services > Legal Services > Employment Law > Employment Litigation,MEDIUM,0.3313,0.0418,HYBRID_RERANKING,Professional Services,Legal Services,Employment Law,Employment Litigation,Professional Services > Legal Services > Employment Law > Employment Litigation,APPROVED,Domain validation: confirmed Employment Litigation correctly matches spend description.,Professional Services,Legal Services,Employment Law,Employment Litigation,Professional Services > Legal Services > Employment Law > Employment Litigation
82,"Addleshaw Goddard – property lease renewals, 20 stores",Addleshaw Goddard,Vendor invoice / PO,Facilities & Property,Property & Real Estate,Leasing,Office & Commercial Leasing,Facilities & Property > Property & Real Estate > Leasing > Office & Commercial Leasing,MEDIUM,0.2929,0.0291,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Leasing,Office & Commercial Leasing,Facilities & Property > Property & Real Estate > Leasing > Office & Commercial Leasing,APPROVED,Domain validation: confirmed Office & Commercial Leasing correctly matches spend description.,Facilities & Property,Property & Real Estate,Leasing,Office & Commercial Leasing,Facilities & Property > Property & Real Estate > Leasing > Office & Commercial Leasing
83,PwC – FY2024 statutory external audit,PricewaterhouseCoopers,Vendor invoice / PO,Professional Services,Finance & Accounting,Audit,External Audit,Professional Services > Finance & Accounting > Audit > External Audit,HIGH,0.5672,0.215,DETERMINISTIC_RULE,Professional Services,Finance & Accounting,Audit,External Audit,Professional Services > Finance & Accounting > Audit > External Audit,APPROVED,Domain validation: confirmed External Audit correctly matches spend description.,Professional Services,Finance & Accounting,Audit,External Audit,Professional Services > Finance & Accounting > Audit > External Audit
84,"Mewburn Ellis – patent registration, 4 formulations, UK + EU",Mewburn Ellis LLP,Vendor invoice / PO,Professional Services,Legal Services,Intellectual Property,Patent Registration & Management,Professional Services > Legal Services > Intellectual Property > Patent Registration & Management,HIGH,0.3709,0.1559,HYBRID_RERANKING,Professional Services,Legal Services,Intellectual Property,Patent Registration & Management,Professional Services > Legal Services > Intellectual Property > Patent Registration & Management,APPROVED,Domain validation: confirmed Patent Registration & Management correctly matches spend description.,Professional Services,Legal Services,Intellectual Property,Patent Registration & Management,Professional Services > Legal Services > Intellectual Property > Patent Registration & Management
85,"Deloitte – R&D tax credits claim, FY2024",Deloitte,Service contract / PO,Professional Services,Finance & Accounting,Tax Advisory,Direct Tax Advisory,Professional Services > Finance & Accounting > Tax Advisory > Direct Tax Advisory,HIGH,0.4009,0.1097,DETERMINISTIC_RULE,Professional Services,Finance & Accounting,Tax Advisory,Direct Tax Advisory,Professional Services > Finance & Accounting > Tax Advisory > Direct Tax Advisory,APPROVED,Domain validation: confirmed Direct Tax Advisory correctly matches spend description.,Professional Services,Finance & Accounting,Tax Advisory,Direct Tax Advisory,Professional Services > Finance & Accounting > Tax Advisory > Direct Tax Advisory
86,"JLL – property portfolio rationalisation advisory, 60 branches",JLL,Service contract / PO,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory,MEDIUM,0.402,0.0335,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory,APPROVED,Domain validation: confirmed Real Estate Advisory correctly matches spend description.,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory
87,"Fjord / Accenture Song – customer journey mapping, UX research",Fjord / Accenture Song,Service contract / PO,Marketing & Communications,Market Intelligence,Research & Insight,Customer Insight Research,Marketing & Communications > Market Intelligence > Research & Insight > Customer Insight Research,MEDIUM,0.3375,0.1172,HYBRID_RERANKING,Marketing & Communications,Market Intelligence,Research & Insight,Customer Insight Research,Marketing & Communications > Market Intelligence > Research & Insight > Customer Insight Research,APPROVED,Domain validation: confirmed Customer Insight Research correctly matches spend description.,Marketing & Communications,Market Intelligence,Research & Insight,Customer Insight Research,Marketing & Communications > Market Intelligence > Research & Insight > Customer Insight Research
88,"Deloitte Corporate Finance – hospital group acquisition, sell-side advisory",Deloitte Corporate Finance,Works order / Agreement,Professional Services,Finance & Accounting,Corporate Finance,Valuations & Fairness Opinions,Professional Services > Finance & Accounting > Corporate Finance > Valuations & Fairness Opinions,LOW,0.448,0.0194,HUMAN_REVIEW,Professional Services,Finance & Accounting,Corporate Finance,M&A Financial Due Diligence,Professional Services > Finance & Accounting > Corporate Finance > M&A Financial Due Diligence,CORRECTED,Deloitte Corporate Finance sell-side advisory on hospital group acquisition is M&A corporate finance advisory.,Professional Services,Finance & Accounting,Corporate Finance,M&A Financial Due Diligence,Professional Services > Finance & Accounting > Corporate Finance > M&A Financial Due Diligence
89,KPMG – FCA section 166 skilled persons review,KPMG,Works order / Agreement,HR & Workforce,Learning & Development,Qualifications & Accreditations,Professional Qualifications,HR & Workforce > Learning & Development > Qualifications & Accreditations > Professional Qualifications,LOW,0.2208,0.0058,HUMAN_REVIEW,Professional Services,Legal Services,Regulatory & Compliance,Regulatory Compliance Advisory,Professional Services > Legal Services > Regulatory & Compliance > Regulatory Compliance Advisory,CORRECTED,"KPMG FCA section 166 skilled persons review is regulatory compliance advisory, not professional qualifications.",Professional Services,Legal Services,Regulatory & Compliance,Regulatory Compliance Advisory,Professional Services > Legal Services > Regulatory & Compliance > Regulatory Compliance Advisory
90,Capgemini Engineering – Industry 4.0 OT/IT advisory + delivery,Capgemini Engineering,Works order / Agreement,IT & Technology,Software,Productivity & Collaboration,Messaging & Comms Platforms,IT & Technology > Software > Productivity & Collaboration > Messaging & Comms Platforms,LOW,0.2692,0.0123,HUMAN_REVIEW,IT & Technology,IT Services,Consulting & Advisory,Digital Transformation Advisory,IT & Technology > IT Services > Consulting & Advisory > Digital Transformation Advisory,CORRECTED,"Capgemini Engineering Industry 4.0 OT/IT advisory is digital transformation consulting, not messaging platforms.",IT & Technology,IT Services,Consulting & Advisory,Digital Transformation Advisory,IT & Technology > IT Services > Consulting & Advisory > Digital Transformation Advisory
91,"Oliver Wyman – IFRS9 ECL model validation, independent review",Oliver Wyman,Programme agreement,Finance & Insurance,Compliance & Regulatory,Compliance Technology,AML & KYC Systems,Finance & Insurance > Compliance & Regulatory > Compliance Technology > AML & KYC Systems,LOW,0.198,0.0133,HUMAN_REVIEW,Professional Services,Finance & Accounting,Actuarial,Actuarial Valuations,Professional Services > Finance & Accounting > Actuarial > Actuarial Valuations,CORRECTED,"Oliver Wyman IFRS9 ECL financial model validation is actuarial/financial risk advisory, not AML & KYC.",Professional Services,Finance & Accounting,Actuarial,Actuarial Valuations,Professional Services > Finance & Accounting > Actuarial > Actuarial Valuations
92,"Arden & GEM CSU – population health analytics, NHS data modelling",Arden & GEM CSU,Programme agreement,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies,LOW,0.3483,0.008,HUMAN_REVIEW,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies,APPROVED,Arden & GEM CSU population health NHS data modelling is analytics advisory/benchmarking.,Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies
