L1,L2,L3,L4,full_path,boundary_note
Utilities & Energy,Energy Supply,Electricity,Grid Electricity Supply,Utilities & Energy > Energy Supply > Electricity > Grid Electricity Supply,
Utilities & Energy,Energy Supply,Electricity,Renewable Electricity (PPA/Tariff),Utilities & Energy > Energy Supply > Electricity > Renewable Electricity (PPA/Tariff),
Utilities & Energy,Energy Supply,Natural Gas,Gas Supply - Commercial,Utilities & Energy > Energy Supply > Natural Gas > Gas Supply - Commercial,
Utilities & Energy,Energy Supply,Natural Gas,Gas Supply - Industrial Process,Utilities & Energy > Energy Supply > Natural Gas > Gas Supply - Industrial Process,"Industrial process gases incl. N2, O2, Ar (Air Products)."
Utilities & Energy,Energy Supply,Water,Water Supply & Sewerage,Utilities & Energy > Energy Supply > Water > Water Supply & Sewerage,
Utilities & Energy,Energy Management,Energy Procurement,Energy Broker & Procurement Advisory,Utilities & Energy > Energy Management > Energy Procurement > Energy Broker & Procurement Advisory,Energy broking and EaaS contracts. Emerging categories.
Utilities & Energy,Energy Management,Energy Procurement,Power Purchase Agreements (PPA),Utilities & Energy > Energy Management > Energy Procurement > Power Purchase Agreements (PPA),Complex financial + energy. Boundary with Finance & Insurance.
Utilities & Energy,Energy Management,Metering & Data,Smart Metering Services,Utilities & Energy > Energy Management > Metering & Data > Smart Metering Services,
Utilities & Energy,Energy Management,Metering & Data,Energy Data Management,Utilities & Energy > Energy Management > Metering & Data > Energy Data Management,
Utilities & Energy,Energy Efficiency & Renewables,Energy Efficiency,LED Lighting Upgrades,Utilities & Energy > Energy Efficiency & Renewables > Energy Efficiency > LED Lighting Upgrades,
Utilities & Energy,Energy Efficiency & Renewables,Energy Efficiency,Voltage Optimisation,Utilities & Energy > Energy Efficiency & Renewables > Energy Efficiency > Voltage Optimisation,
Utilities & Energy,Energy Efficiency & Renewables,Energy Efficiency,Building Energy Management Systems,Utilities & Energy > Energy Efficiency & Renewables > Energy Efficiency > Building Energy Management Systems,
Utilities & Energy,Energy Efficiency & Renewables,Renewable Generation,Solar PV Installation,Utilities & Energy > Energy Efficiency & Renewables > Renewable Generation > Solar PV Installation,
Utilities & Energy,Energy Efficiency & Renewables,Renewable Generation,Wind & CHP On-Site Generation,Utilities & Energy > Energy Efficiency & Renewables > Renewable Generation > Wind & CHP On-Site Generation,
Utilities & Energy,Carbon & Environment,Carbon Offsetting,Verified Carbon Offsets (VCS/Gold Standard),Utilities & Energy > Carbon & Environment > Carbon Offsetting > Verified Carbon Offsets (VCS/Gold Standard),Carbon credits. Boundary: Utilities vs Finance vs Sustainability.
Utilities & Energy,Carbon & Environment,Carbon Offsetting,Renewable Energy Certificates (REGO/GoO),Utilities & Energy > Carbon & Environment > Carbon Offsetting > Renewable Energy Certificates (REGO/GoO),
Utilities & Energy,Carbon & Environment,EV Infrastructure,EV Charging Point Installation,Utilities & Energy > Carbon & Environment > EV Infrastructure > EV Charging Point Installation,
Utilities & Energy,Carbon & Environment,EV Infrastructure,EV Charging Maintenance,Utilities & Energy > Carbon & Environment > EV Infrastructure > EV Charging Maintenance,
MRO & Engineering,"Maintenance, Repair & Overhaul",Mechanical Maintenance,Scheduled Preventive Maintenance,"MRO & Engineering > Maintenance, Repair & Overhaul > Mechanical Maintenance > Scheduled Preventive Maintenance",PM contracts. Distinct from reactive/breakdown repairs.
MRO & Engineering,"Maintenance, Repair & Overhaul",Mechanical Maintenance,Reactive Maintenance & Repairs,"MRO & Engineering > Maintenance, Repair & Overhaul > Mechanical Maintenance > Reactive Maintenance & Repairs",
MRO & Engineering,"Maintenance, Repair & Overhaul",Electrical Maintenance,Electrical Inspection & Testing,"MRO & Engineering > Maintenance, Repair & Overhaul > Electrical Maintenance > Electrical Inspection & Testing",
MRO & Engineering,"Maintenance, Repair & Overhaul",Electrical Maintenance,Switchgear & Panel Maintenance,"MRO & Engineering > Maintenance, Repair & Overhaul > Electrical Maintenance > Switchgear & Panel Maintenance",
MRO & Engineering,"Maintenance, Repair & Overhaul",Instrumentation,Calibration & Metrology Services,"MRO & Engineering > Maintenance, Repair & Overhaul > Instrumentation > Calibration & Metrology Services",
MRO & Engineering,"Maintenance, Repair & Overhaul",Instrumentation,Condition Monitoring,"MRO & Engineering > Maintenance, Repair & Overhaul > Instrumentation > Condition Monitoring",
MRO & Engineering,Spare Parts & Components,Mechanical Parts,"Bearings, Seals & Gaskets","MRO & Engineering > Spare Parts & Components > Mechanical Parts > Bearings, Seals & Gaskets",
MRO & Engineering,Spare Parts & Components,Mechanical Parts,"Belts, Chains & Couplings","MRO & Engineering > Spare Parts & Components > Mechanical Parts > Belts, Chains & Couplings",
MRO & Engineering,Spare Parts & Components,Electrical Parts,Electrical Components & Fuses,MRO & Engineering > Spare Parts & Components > Electrical Parts > Electrical Components & Fuses,
MRO & Engineering,Spare Parts & Components,Electrical Parts,Motors & Drives,MRO & Engineering > Spare Parts & Components > Electrical Parts > Motors & Drives,
MRO & Engineering,MRO Consumables,Lubrication & Chemicals,Industrial Lubricants & Oils,MRO & Engineering > MRO Consumables > Lubrication & Chemicals > Industrial Lubricants & Oils,
MRO & Engineering,MRO Consumables,Lubrication & Chemicals,Cleaning & Chemical Products,MRO & Engineering > MRO Consumables > Lubrication & Chemicals > Cleaning & Chemical Products,
MRO & Engineering,MRO Consumables,Abrasives & Cutting,"Abrasives, Cutting Discs & Tools","MRO & Engineering > MRO Consumables > Abrasives & Cutting > Abrasives, Cutting Discs & Tools",
MRO & Engineering,MRO Consumables,Fasteners & Fixings,"Nuts, Bolts & Fasteners","MRO & Engineering > MRO Consumables > Fasteners & Fixings > Nuts, Bolts & Fasteners",
MRO & Engineering,Engineering Services,Specialist Engineering,Compressed Air & Pneumatics,MRO & Engineering > Engineering Services > Specialist Engineering > Compressed Air & Pneumatics,
MRO & Engineering,Engineering Services,Specialist Engineering,Hydraulics & Fluid Power,MRO & Engineering > Engineering Services > Specialist Engineering > Hydraulics & Fluid Power,
MRO & Engineering,Engineering Services,Equipment Hire,Scaffolding & Access Platforms,MRO & Engineering > Engineering Services > Equipment Hire > Scaffolding & Access Platforms,
MRO & Engineering,Engineering Services,Equipment Hire,Plant & Heavy Equipment Hire,MRO & Engineering > Engineering Services > Equipment Hire > Plant & Heavy Equipment Hire,
MRO & Engineering,Engineering Services,Asset Management,Asset Management Software (CMMS/EAM),MRO & Engineering > Engineering Services > Asset Management > Asset Management Software (CMMS/EAM),
"Print, Office & Corporate",Office Supplies,Stationery & Consumables,Paper & Stationery,"Print, Office & Corporate > Office Supplies > Stationery & Consumables > Paper & Stationery",
"Print, Office & Corporate",Office Supplies,Stationery & Consumables,Toner & Printer Consumables,"Print, Office & Corporate > Office Supplies > Stationery & Consumables > Toner & Printer Consumables",
"Print, Office & Corporate",Office Supplies,Office Equipment,Office Furniture,"Print, Office & Corporate > Office Supplies > Office Equipment > Office Furniture",
"Print, Office & Corporate",Office Supplies,Office Equipment,Whiteboards & AV Equipment,"Print, Office & Corporate > Office Supplies > Office Equipment > Whiteboards & AV Equipment",
"Print, Office & Corporate",Print & Managed Print,Managed Print Services,Managed Print Services (MPS),"Print, Office & Corporate > Print & Managed Print > Managed Print Services > Managed Print Services (MPS)",
"Print, Office & Corporate",Print & Managed Print,Print Production,External Print Production,"Print, Office & Corporate > Print & Managed Print > Print Production > External Print Production",
"Print, Office & Corporate",Print & Managed Print,Print Production,Large Format & Signage,"Print, Office & Corporate > Print & Managed Print > Print Production > Large Format & Signage",
"Print, Office & Corporate",Corporate Services,Travel & Expenses,Business Travel Management,"Print, Office & Corporate > Corporate Services > Travel & Expenses > Business Travel Management",Full TMC contract. Decompose to hotel/air/ground if split.
"Print, Office & Corporate",Corporate Services,Travel & Expenses,Corporate Hotel Programme,"Print, Office & Corporate > Corporate Services > Travel & Expenses > Corporate Hotel Programme",
"Print, Office & Corporate",Corporate Services,Travel & Expenses,Car Hire & Ground Transport,"Print, Office & Corporate > Corporate Services > Travel & Expenses > Car Hire & Ground Transport",
"Print, Office & Corporate",Corporate Services,Travel & Expenses,Expense Management Software,"Print, Office & Corporate > Corporate Services > Travel & Expenses > Expense Management Software",
"Print, Office & Corporate",Corporate Services,Fleet & Vehicles,Company Car Leasing,"Print, Office & Corporate > Corporate Services > Fleet & Vehicles > Company Car Leasing",
"Print, Office & Corporate",Corporate Services,Fleet & Vehicles,Van & Commercial Vehicle Leasing,"Print, Office & Corporate > Corporate Services > Fleet & Vehicles > Van & Commercial Vehicle Leasing",
"Print, Office & Corporate",Corporate Services,Catering & Hospitality,Corporate Hospitality,"Print, Office & Corporate > Corporate Services > Catering & Hospitality > Corporate Hospitality",
"Print, Office & Corporate",Corporate Services,Memberships & Subscriptions,Professional Body Memberships,"Print, Office & Corporate > Corporate Services > Memberships & Subscriptions > Professional Body Memberships",
"Print, Office & Corporate",Corporate Services,Memberships & Subscriptions,Trade Publications & Subscriptions,"Print, Office & Corporate > Corporate Services > Memberships & Subscriptions > Trade Publications & Subscriptions",
Non-Addressable,Statutory Payments,Employment Taxes,Employer National Insurance Contributions,Non-Addressable > Statutory Payments > Employment Taxes > Employer National Insurance Contributions,NON-ADDRESSABLE. Statutory payment. No commercial lever.
Non-Addressable,Statutory Payments,Employment Taxes,Apprenticeship Levy,Non-Addressable > Statutory Payments > Employment Taxes > Apprenticeship Levy,
Non-Addressable,Statutory Payments,Corporate Taxes,Corporation Tax Payments,Non-Addressable > Statutory Payments > Corporate Taxes > Corporation Tax Payments,NON-ADDRESSABLE. Tax advisory IS addressable.
Non-Addressable,Statutory Payments,Corporate Taxes,VAT Payments,Non-Addressable > Statutory Payments > Corporate Taxes > VAT Payments,
Non-Addressable,Statutory Payments,Property Taxes,Business Rates Payments,Non-Addressable > Statutory Payments > Property Taxes > Business Rates Payments,NON-ADDRESSABLE. Rateable value appeal (legal advisory) IS addressable.
Non-Addressable,Statutory Payments,Environmental Taxes,Climate Change Levy Payments,Non-Addressable > Statutory Payments > Environmental Taxes > Climate Change Levy Payments,
Non-Addressable,Intercompany,Intercompany Recharges,Internal Management Charges,Non-Addressable > Intercompany > Intercompany Recharges > Internal Management Charges,
Non-Addressable,Intercompany,Intercompany Recharges,Group IT Recharges,Non-Addressable > Intercompany > Intercompany Recharges > Group IT Recharges,
